,Name,Father_Name12,DOB12,Place_Of_Birth12,Education12,Profession12,Permanent_Address12,Present_Address12
183,Thiyagarajan  Shri M.,Shri R. Maran,10/8/1959,"Mudalipalayam, Distt. Coimbatore (Tamil Nadu)",NA,NA,NA,NA
184,Thorat  Shri Sandipan Bhagwan,Late Shri Bhagwan Laxman Thorat,6/12/1932,"Nimgaon(M), Taluk Madha, Distt. Solapur
			(Maharashtra)",NA,NA,NA,NA
185,Tiwari  Shri Prabhash Chandra,Late Shri Bulaki Lal Tiwari,17/02/1941,"Kaneri, Distt. Bhagalpur (Bihar)",NA,NA,NA,NA
186,Tupe  Shri Vitthal,Shri Baburao Ganpatrao Tupe,15/06/1940,"Hadapsar, Distt. Pune (Maharashtra)",NA,NA,NA,NA
187,Upadhyay  Shri Rampal,Shri Krishanji,24/07/1935,"Vill. Rewada-Raipur, Distt. Bhilwara (Rajasthan)",NA,NA,NA,NA
188,Upendra  Shri Parvathaneni,Late Shri P. Dasaratharamaiah,14/07/1936,"Pothunuru, Distt. West Godavari
			(Andhra Pradesh)",NA,NA,NA,NA
189,Varma  Dr. Sushil Chandra,Shri Hiralal Varma,24/02/1926,Khandwa (Madhya Pradesh),NA,NA,NA,NA
190,Vedanti  Dr. Ram Vilas,Late Guru Shri Ram Sevak Das,7/10/1958,"Gudh, Distt. Rewa (Madhya Pradesh)",NA,NA,NA,NA
191,Venugopal  Shri K.,Shri Kanni,1/7/1950,"Siruvanjur, Distt. Tiruvallore (Tamil Nadu)",NA,NA,NA,NA
192,Verma  Shri Rati Lal Prasad,Late Shri B.M. Kushwaha,1/2/1938,"Bhandaro, Distt. Giridih (Bihar)",NA,NA,NA,NA
193,Verma  Kumari Vimla,Late Shri K.P. Verma,1/7/1929,Nagpur (Maharashtra),NA,NA,NA,NA
194,Verma  Shri Virendra,Choudhury Raghuveer Singh,18/09/1916,"Shamli, Distt. Muzaffarnagar (Uttar Pradesh)",NA,NA,NA,NA
195,Vijay  Shri Vijay Kumar,Shri Hanuman Prasad,3/2/1952,"Bara Hazi Sujan, Distt. Monghyr (Bihar)",NA,NA,NA,NA
196,Vora  Shri Motilal,Late Shri Mohan Lal Vora,20/12/1928,Nagaur (Rajasthan),NA,NA,NA,NA
197,Warpudkar  Shri Suresh,Shri Ambadas Rao,20/04/1951,"Warpud, Distt. Parbhani (Maharashtra)",NA,NA,NA,NA
198,Yadav  Shri Anup Lal,Late Thakur Prasad Yadav,5/10/1923,Widower,NA,NA,NA,NA
199,Yadav  Shri Ghasiram,Shri Pratap Singh,15/11/1924,"Vill. Bhungara Ahir, Distt. Alwar (Rajasthan)",NA,NA,NA,NA
200,Yadav  Shri Pradeep Kumar,Shri Vishal Singh Yadav,15/03/1957,"Bharthana, Distt. Etawah (Uttar Pradesh)",NA,NA,NA,NA
201,Yadav  Shri Satyapal Singh,Shri Chet Ram Singh Yadav,1/7/1942,"Sieura, Distt. Shahjahanpur (Uttar Pradesh)",NA,NA,NA,NA
202,Yadav  Shri Surendra Prasad,Late Shri Asho Lal Yadav,31/10/1952,"Basuari, Distt. Madhubani (Bihar)",NA,NA,NA,NA
