,Name,Father_Name12,DOB12,Place_Of_Birth12,Education12,Profession12,Permanent_Address12,Present_Address12
40,Fatmi  Shri Mohammad Ali Ashraf,Md. Illyas Ashraf,1/1/1956,"Baquipur, Distt. Darbhanga (Bihar)",NA,NA,NA,NA
41,Foley  Lt.Gen.(Retd.) Neville,Shri George Henry Foley,14/09/1936,Sonepur  (Bihar),NA,NA,NA,NA
42,Gamit  Shri Chhitubhai,Late Shri Devjibhai Gamit,22/04/1942,"Bhimpur, Distt. Surat (Gujarat)",NA,NA,NA,NA
43,Gangadhar  Shri S.,Late Shri S. Narayanappa,12/10/1949,"Munimadugu, Distt. Anantapur (Andhra Pradesh)",NA,NA,NA,NA
44,Gangte  Kumari Kim,Shri Vumkhosei Gangte,30/10/1962,"Uyungmakhong, South Distt.(Manipur)",NA,NA,NA,NA
45,Gavai  Shri Ramkrishna Suryabhan,Shri Suryabhanji Gavai,30/10/1929,"Darapur, Distt. Amravati (Maharashtra)",NA,NA,NA,NA
46,Gehlot  Shri Ashok,Late Babu Laxman Singh Gehlot,3/5/1951,"Mahamandir, Distt. Jodhpur (Rajasthan)",NA,NA,NA,NA
47,Ghafoor  Shri Abdul,Shri Basir Ali,1/4/1905,"Vill. Sareya Akhtiyar, Distt. Gopalganj (Bihar)",NA,NA,NA,NA
48,Giri  Prof. Sudhir Kumar,Shri Jiban Krishna Giri,13/05/1933,"Kalapunja, Distt. Midnapore (West Bengal)",NA,NA,NA,NA
49,Gopal  Shri C.,Shri N.L.P. Chinnappa Mudaliar,24/05/1946,"Sholinghur, Distt. Vellore (Tamil Nadu)",NA,NA,NA,NA
50,Goswami  Shri Nripen,Late Shri Krishna Chandra Goswami,18/09/1942,"Kampur, Distt. Nagaon (Assam)",NA,NA,NA,NA
51,Gujral  Shri Inder Kumar,Late Shri Avtar Narain Gujral,4/12/1919,Jhelum (Now in Pakistan),NA,NA,NA,NA
52,Hussain  Shri Syed,Shri Syed Ahmed,15/05/1944,"Tambis, Distt. Kargil (Jammu and Kashmir)",NA,NA,NA,NA
53,Jain  Shri Mitha Lal,Late Shri Ratan Chand Jain,19/11/1940,"Kosalao, Distt. Pali (Rajasthan)",NA,NA,NA,NA
54,Jain  Shri Satya Pal,Late Shri Rup Lal Jain,15/06/1952,"Kharar, Distt. Ropar (Punjab)",NA,NA,NA,NA
55,Jakhar  Dr. Bal Ram,Shri Raja Ram,23/08/1923,"Panjkosi, Distt. Ferozepur (Punjab)",NA,NA,NA,NA
56,Janarthanan  Shri M.R. Kadambur,Shri Rathnasamy Nadar,22/10/1929,"Kadambur, Distt. Thoothukudi (Tamil Nadu)",NA,NA,NA,NA
57,K.Parymohan  Shri,Shri Krishnasamy,22/05/1962,Dharmapuri (Tamil Nadu),NA,NA,NA,NA
58,Kahandole  Shri Zambru Mangalu,Shri Mangalu Yashwant Kahandole,20/03/1930,"Vill. Mani, Distt. Nasik (Maharashtra)",NA,NA,NA,NA
59,Kainth  Shri Satnam Singh,Shri Chanan Ram,21/04/1961,"Sotran, Distt. Navashahar  (Punjab)",NA,NA,NA,NA
60,Kalita  Shri Bhubaneswar,Late Shri Krishna Kanta Kalita,1/4/1951,"Vill. Pub-Sitara, Distt. Kamrup (Assam)",NA,NA,NA,NA
61,Kamal Rani  Smt.,Shri Moti Lal Rawat,3/5/1958,Lucknow (Uttar Pradesh),NA,NA,NA,NA
62,Kamble  Shri Arvind Tulsiram,Shri Tulsiram Dashrath Kamble,28/02/1952,"Udgir, Distt. Latur (Maharashtra)",NA,NA,NA,NA
63,Katheria  Shri Prabhu Dayal,Shri Nathuram Katheria,07/07/1952,"Chosingi, Distt. Agra (Uttar Pradesh)",NA,NA,NA,NA
64,Kawade  Prof. Jogendra,Shri Laxmanrao Kawade,1/4/1943,Nagpur (Maharashtra),NA,NA,NA,NA
65,Khan  Shri Arif Mohammed,Shri Ashfaq Mohammad Khan,18/11/1951,Bulandshahr (Uttar Pradesh),NA,NA,NA,NA
66,Koli  Shri Ganga Ram,Shri Kashi Ram,5/1/1937,"Bayana, Distt. Bharatpur (Rajasthan)",NA,NA,NA,NA
67,Kondaiah  Shri K.C.,Shri K.V. Thirupalappa,10/7/1950,Bellary (Karnataka),NA,NA,NA,NA
68,Krishnamoorthy  Shri K.,Shri S.T. Krishnaswamy,1/7/1944,"Soorakottai, Distt. Thanjavur (Tamil Nadu)",NA,NA,NA,NA
69,Kurien  Prof. P.J.,Shri P.G. Joseph,31/03/1941,"Puramattom in Tiruvalla, 
			Distt. Pathanamthitta (Kerala)",NA,NA,NA,NA
70,Lallungmuana  Dr. Hauhnar,Late Shri Lalkhawsiama,9/1/1944,"Biate, Distt. Aizawl, Mizoram",NA,NA,NA,NA
71,Mahto  Shri Raj Banshi,Shri Ram Prasad Mahto,10/9/1955,"Basahi, Distt. Begusarai (Bihar)",NA,NA,NA,NA
72,Mallick  Shri Rama Chandra,Shri Duryodhan Mallick,2/8/1933,"Barundai, Distt. Jajpur (Orissa)",NA,NA,NA,NA
73,Mallu  Dr. Ravi,Shri Akhilanda,14/07/1950,"S. Laxmipuram, Khammam (Andhra Pradesh)",NA,NA,NA,NA
74,Malti Devi  Smt.,Shri Barho Ram,5/8/1968,"Manglagori, Distt. Gaya (Bihar)",NA,NA,NA,NA
76,Mandal  Shri Jai Krishna,Shri Raghubar Mandal,1/12/1950,"Barahari, Distt. Purnea (Bihar)",NA,NA,NA,NA
77,Marandi  Shri Som,Shri Dugru Marandi,4/1/1964,"Littipada, Distt. Pakur (Bihar)",NA,NA,NA,NA
78,Maurya  Shri Ananda Ratna,Dr. C.S. Upasak,7/7/1955,Varanasi (Uttar Pradesh),NA,NA,NA,NA
79,Meena  Shri Ram Narain,Patel Kalyanlalji Meena,1/8/1943,"Raithal, Distt. Bundi (Rajasthan)",NA,NA,NA,NA
80,Meena  Smt. Usha,"Late Shri Chhuttan Lal, Ex-MP",1/7/1949,Alwar (Rajasthan),NA,NA,NA,NA
81,Mehta  Prof. Ajit Kumar,Late Shri Ram Khelawan Mehta,3/2/1932,"Vill. Fatehpur Bala, Distt. Samastipur
			(Bihar)",NA,NA,NA,NA
