,Name,Father_Name11,DOB11,Place_Of_Birth11,Education11,Profession11,Permanent_Address11,Present_Address11
0,Adaikalaraj  Shri Lourdusamy,Shri Lourdasamy,09/05/1936,Trichy (Tamil Nadu),NA,NA,NA,NA
2,Alagiri Samy  Shri V.,Shri A. Vankatasamy,10/04/1968,Madurai (Tamil Nadu),NA,NA,NA,NA
3,Ali  Shri Mohammad Idris,Late Kaptan Mondal,01/02/1932,"Vill. & P.O. Diar Fatehpur within P.S. Lalgola in 
		    Distt. Murshidabad (West Bengal)",NA,NA,NA,NA
4,Anis  Shri Mukhtar,Shri Syed Mohd. Anis Rizvi,08/06/1943,Akbarpur in Distt. Faizabad (Uttar Pradesh),NA,NA,NA,NA
5,Arunachalam  Shri Mookaiah,Shri Mookaiah,04/03/1944,"Vellanaikottai in Distt. Nellai Kattabomman 
		(Tamil Nadu)",NA,NA,NA,NA
6,Athawalay  Shri Narayan Gajanan,Shri Gajanan,16/08/1932,Pune (Maharashtra),NA,NA,NA,NA
7,Badade  Shri Bhimrao Vishnuji,Shri Vishnuji,01/08/1947,"Makegaonthai in Distt. Kopergaon, Ahmed Nagar, Maharashtra",NA,NA,NA,NA
8,Bagul  Shri Sahebrao,Shri Sukhram Tanaji Bagul,01/06/1953,Khairkhunda in Distt. Dhule (Maharashtra),NA,NA,NA,NA
